motor_status,timestamp,bottle_liquidlevel,tank_upperbound,flowlevel,bottle_lowerbound,tank_lowerbound,tank_liquidlevel,bottle_upperbound,sensor2_thresh
1,2021-05-04 16:06:25.461295,0.7032407522201538,5.81,2.450000047683716,0.0,0.3,4.96064814814816,0.9,3.0
0,2021-05-04 16:06:28.350244,0.9074074029922485,5.81,2.450000047683716,0.0,0.3,4.82453703703705,0.9,3.0
1,2021-05-04 16:06:31.364433,0.0,5.81,0.0,0.0,0.3,4.7451388888889,0.9,3.0
1,2021-05-04 16:06:35.940814,0.20416666567325592,5.81,2.450000047683716,0.0,0.3,4.71111111111112,0.9,3.0
1,2021-05-04 16:06:39.239246,0.5444444417953491,5.81,2.450000047683716,0.0,0.3,4.52962962962964,0.9,3.0
1,2021-05-04 16:06:44.396912,0.8847222328186035,5.81,2.450000047683716,0.0,0.3,4.39351851851852,0.9,3.0
1,2021-05-04 16:06:47.665556,0.06805555522441864,5.81,2.450000047683716,0.0,0.3,4.18935185185186,0.9,3.0
1,2021-05-04 16:06:51.972910,0.40833333134651184,5.81,2.450000047683716,0.0,0.3,4.05324074074074,0.9,3.0
1,2021-05-04 16:06:55.307837,0.657870352268219,5.81,2.450000047683716,0.0,0.3,3.88310185185185,0.9,3.0
0,2021-05-04 16:06:58.249024,0.9074074029922485,5.81,2.450000047683716,0.0,0.3,3.74699074074074,0.9,3.0
1,2021-05-04 16:07:01.947994,0.0,5.81,0.0,0.0,0.3,3.65625,0.9,3.0
1,2021-05-04 16:07:05.559460,0.1814814805984497,5.81,2.450000047683716,0.0,0.3,3.62222222222222,0.9,3.0
1,2021-05-04 16:07:08.901949,0.3856481611728668,5.81,2.450000047683716,0.0,0.3,3.46342592592592,0.9,3.0
1,2021-05-04 16:07:12.504180,0.7259259223937988,5.81,2.450000047683716,0.0,0.3,3.3386574074074,0.9,3.0
0,2021-05-04 16:07:15.707484,0.9074074029922485,5.81,2.450000047683716,0.0,0.3,3.19120370370369,0.9,3.0
1,2021-05-04 16:07:18.528781,0.0,5.81,0.0,0.0,0.3,3.10046296296295,0.9,3.0
1,2021-05-04 16:07:21.707162,0.09074074029922485,5.81,2.450000047683716,0.0,0.3,3.07777777777777,0.9,3.0
1,2021-05-04 16:07:24.954618,0.3402777910232544,5.81,2.450000047683716,0.0,0.3,2.94166666666665,0.9,3.0
1,2021-05-04 16:07:27.805815,0.5898148417472839,5.81,2.450000047683716,0.0,0.3,2.81689814814813,0.9,3.0
1,2021-05-04 16:07:30.563071,0.8166666626930237,5.81,2.450000047683716,0.0,0.3,2.69212962962961,0.9,3.0
0,2021-05-04 16:07:33.517198,0.9074074029922485,5.81,2.450000047683716,0.0,0.3,2.59004629629628,0.9,3.0
1,2021-05-04 16:07:36.577321,0.06805555522441864,5.81,0.0,0.0,0.3,2.51064814814813,0.9,3.0
1,2021-05-04 16:07:40.090459,0.22685185074806213,5.81,2.450000047683716,0.0,0.3,2.47662037037035,0.9,3.0
1,2021-05-04 16:07:43.526311,0.45370370149612427,5.81,2.450000047683716,0.0,0.3,2.32916666666665,0.9,3.0
1,2021-05-04 16:07:46.794843,0.7939814925193787,5.81,2.450000047683716,0.0,0.3,2.19305555555553,0.9,3.0
0,2021-05-04 16:07:50.066321,0.9074074029922485,5.81,2.450000047683716,0.0,0.3,2.05694444444442,0.9,3.0
1,2021-05-04 16:07:53.161573,0.04537037014961243,5.81,0.0,0.0,0.3,1.96620370370368,0.9,3.0
1,2021-05-04 16:07:56.305777,0.22685185074806213,5.81,2.450000047683716,0.0,0.3,1.92083333333331,0.9,3.0
1,2021-05-04 16:07:59.435506,0.45370370149612427,5.81,2.450000047683716,0.0,0.3,1.79606481481479,0.9,3.0
1,2021-05-04 16:08:02.867070,0.7486110925674438,5.81,2.450000047683716,0.0,0.3,1.65995370370367,0.9,3.0
0,2021-05-04 16:08:06.270356,0.9074074029922485,5.81,2.450000047683716,0.0,0.3,1.52384259259256,0.9,3.0
1,2021-05-04 16:08:10.023994,0.0,5.81,0.0,0.0,0.3,1.43310185185182,0.9,3.0
1,2021-05-04 16:08:13.576764,0.09074074029922485,5.81,2.450000047683716,0.0,0.3,1.39907407407404,0.9,3.0
1,2021-05-04 16:08:16.584383,0.3856481611728668,5.81,2.450000047683716,0.0,0.3,1.25162037037034,0.9,3.0
1,2021-05-04 16:08:19.742563,0.657870352268219,5.81,2.450000047683716,0.0,0.3,1.13819444444441,0.9,3.0
1,2021-05-04 16:08:22.653797,0.8393518328666687,5.81,2.450000047683716,0.0,0.3,1.01342592592589,0.9,3.0
1,2021-05-04 16:08:25.668814,0.022685185074806213,5.81,2.450000047683716,0.0,0.3,0.899999999999963,0.9,3.0
1,2021-05-04 16:08:28.954210,0.29490742087364197,5.81,2.450000047683716,0.0,0.3,0.775231481481445,0.9,3.0
1,2021-05-04 16:08:32.082550,0.5671296119689941,5.81,2.450000047683716,0.0,0.3,0.639120370370334,0.9,3.0
1,2021-05-04 16:08:35.047422,0.7939814925193787,5.81,2.450000047683716,0.0,0.3,0.514351851851815,0.9,3.0
0,2021-05-04 16:08:38.079050,0.9074074029922485,5.81,2.450000047683716,0.0,0.3,0.389583333333297,0.9,3.0
1,2021-05-04 16:08:40.907264,0.06805555522441864,5.81,0.0,0.0,0.3,0.310185185185149,0.9,3.0
0,2021-05-04 16:08:43.565593,0.1587962955236435,5.81,2.450000047683716,0.0,0.3,0.298842592592556,0.9,3.0
1,2021-05-04 16:08:46.376176,0.1587962955236435,5.81,0.0,0.0,0.3,5.8,0.9,3.0
1,2021-05-04 16:08:49.649364,0.3402777910232544,5.81,2.450000047683716,0.0,0.3,5.76597222222222,0.9,3.0
1,2021-05-04 16:08:52.911873,0.5898148417472839,5.81,2.450000047683716,0.0,0.3,5.62986111111112,0.9,3.0
1,2021-05-04 16:08:55.925160,0.8166666626930237,5.81,2.450000047683716,0.0,0.3,5.49375000000001,0.9,3.0
1,2021-05-04 16:08:59.035427,0.0,5.81,2.450000047683716,0.0,0.3,5.3689814814815,0.9,3.0
1,2021-05-04 16:09:02.265883,0.24953703582286835,5.81,2.450000047683716,0.0,0.3,5.24421296296298,0.9,3.0
1,2021-05-04 16:09:05.071741,0.4990740716457367,5.81,2.450000047683716,0.0,0.3,5.10810185185187,0.9,3.0
1,2021-05-04 16:09:07.842947,0.6805555820465088,5.81,2.450000047683716,0.0,0.3,4.99467592592594,0.9,3.0
0,2021-05-04 16:09:10.649242,0.9074074029922485,5.81,2.450000047683716,0.0,0.3,4.88125000000001,0.9,3.0
1,2021-05-04 16:09:13.473286,0.0,5.81,0.0,0.0,0.3,4.81319444444446,0.9,3.0
1,2021-05-04 16:09:16.278325,0.09074074029922485,5.81,2.450000047683716,0.0,0.3,4.77916666666668,0.9,3.0
1,2021-05-04 16:09:19.274123,0.3402777910232544,5.81,2.450000047683716,0.0,0.3,4.66574074074075,0.9,3.0
1,2021-05-04 16:09:22.325163,0.635185182094574,5.81,2.450000047683716,0.0,0.3,4.54097222222223,0.9,3.0
1,2021-05-04 16:09:25.285937,0.8847222328186035,5.81,2.450000047683716,0.0,0.3,4.41620370370371,0.9,3.0
1,2021-05-04 16:09:28.465459,0.022685185074806213,5.81,2.450000047683716,0.0,0.3,4.30277777777778,0.9,3.0
1,2021-05-04 16:09:31.505019,0.20416666567325592,5.81,2.450000047683716,0.0,0.3,4.16666666666667,0.9,3.0
1,2021-05-04 16:09:34.492931,0.45370370149612427,5.81,2.450000047683716,0.0,0.3,4.04189814814815,0.9,3.0
1,2021-05-04 16:09:37.484533,0.7259259223937988,5.81,2.450000047683716,0.0,0.3,3.92847222222222,0.9,3.0
0,2021-05-04 16:09:40.477340,0.9074074029922485,5.81,2.450000047683716,0.0,0.3,3.8037037037037,0.9,3.0
1,2021-05-04 16:09:43.456445,0.0,5.81,0.0,0.0,0.3,3.72430555555555,0.9,3.0
1,2021-05-04 16:09:46.406574,0.09074074029922485,5.81,2.450000047683716,0.0,0.3,3.69027777777777,0.9,3.0
1,2021-05-04 16:09:49.680113,0.40833333134651184,5.81,2.450000047683716,0.0,0.3,3.56550925925925,0.9,3.0
1,2021-05-04 16:09:52.812134,0.657870352268219,5.81,2.450000047683716,0.0,0.3,3.42939814814814,0.9,3.0
0,2021-05-04 16:09:55.702022,0.9074074029922485,5.81,2.450000047683716,0.0,0.3,3.30462962962962,0.9,3.0
0,2021-05-04 16:09:58.799338,0.9074074029922485,5.81,0.0,0.0,0.3,3.22523148148147,0.9,3.0
1,2021-05-04 16:10:03.599375,0.0,5.81,0.0,0.0,0.3,3.22523148148147,0.9,3.0
1,2021-05-04 16:10:08.177297,0.27222222089767456,5.81,2.450000047683716,0.0,0.3,3.16851851851851,0.9,3.0
1,2021-05-04 16:10:11.245901,0.5444444417953491,5.81,2.450000047683716,0.0,0.3,2.98703703703702,0.9,3.0
1,2021-05-04 16:10:14.244996,0.7259259223937988,5.81,2.450000047683716,0.0,0.3,2.8622685185185,0.9,3.0
0,2021-05-04 16:10:17.020439,0.9074074029922485,5.81,2.450000047683716,0.0,0.3,2.74884259259258,0.9,3.0
