timestamp,tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status,class
52:36.2,2.351851852,999,0.158796296,1,DoS
52:45.6,1.954861111,999,0.907407403,0,DoS
52:55.3,1.648611111,999,0,1,DoS
53:04.8,1.591898148,999,0.589814842,1,DoS
53:13.7,1.20625,999,0.249537036,1,DoS
53:22.7,0.843287037,999,0.907407403,0,DoS
53:31.7,0.525694444,999,0.04537037,1,DoS
53:40.8,0.468981481,999,0.657870352,1,DoS
53:49.7,5.697916667,999,0.249537036,1,DoS
53:58.7,5.334953704,999,0.907407403,0,DoS
54:07.7,5.028703704,999,0.04537037,1,DoS
54:16.6,4.971990741,999,0.612500012,1,DoS
54:25.6,4.609027778,999,0.249537036,1,DoS
54:34.3,4.246064815,999,0.907407403,0,DoS
54:43.4,3.928472222,999,0,1,DoS
54:52.4,3.871759259,999,0.589814842,1,DoS
55:01.3,3.508796296,999,0.226851851,1,DoS
55:10.2,3.145833333,999,0.907407403,0,DoS
55:19.3,2.839583333,999,0,1,DoS
55:28.2,2.78287037,999,0.544444442,1,DoS
55:37.2,2.43125,999,0.204166666,1,DoS
55:46.0,2.056944444,999,0.907407403,0,DoS
55:55.0,1.750694444,999,0,1,DoS
56:04.0,1.693981481,999,0.589814842,1,DoS
56:13.0,1.331018519,999,0.226851851,1,DoS
56:21.9,0.956712963,999,0.907407403,0,DoS
56:31.0,0.661805556,999,0,1,DoS
56:39.9,0.616435185,999,0.589814842,1,DoS
56:48.7,0.298842593,999,0.884722233,0,DoS
56:57.6,5.8,999,0.884722233,1,DoS
57:06.5,5.75462963,999,0.317592591,1,DoS
57:15.4,5.391666667,999,0.907407403,0,DoS
57:24.5,5.074074074,999,0.113425925,1,DoS
57:33.5,5.028703704,999,0.680555582,1,DoS
57:42.3,4.665740741,999,0.294907421,1,DoS
57:51.3,4.302777778,999,0.907407403,0,DoS
58:00.4,3.985185185,999,0.09074074,1,DoS
59:06.4,2.102314815,2.450000048,999,1,DoS
59:14.5,1.728009259,2.450000048,999,1,DoS
59:22.5,1.410416667,2.450000048,999,1,DoS
59:30.6,1.081481481,2.450000048,999,1,DoS
59:38.8,0.752546296,2.450000048,999,1,DoS
59:47.1,0.423611111,2.450000048,999,1,DoS
59:55.3,5.686574074,2.450000048,999,1,DoS
00:03.2,5.346296296,2.450000048,999,1,DoS
00:11.3,5.028703704,2.450000048,999,1,DoS
00:19.4,4.699768519,2.450000048,999,1,DoS
00:27.6,4.382175926,2.450000048,999,1,DoS
00:36.2,4.041898148,2.450000048,999,1,DoS
00:44.2,3.70162037,2.450000048,999,1,DoS
00:52.4,3.384027778,2.450000048,999,1,DoS
01:00.6,3.04375,2.450000048,999,1,DoS
01:08.9,2.703472222,2.450000048,999,1,DoS
01:17.1,2.363194444,2.450000048,999,1,DoS
01:25.1,2.034259259,2.450000048,999,1,DoS
01:33.2,1.705324074,2.450000048,999,1,DoS
01:41.3,1.376388889,2.450000048,999,1,DoS
01:49.6,1.047453704,2.450000048,999,1,DoS
05:09.1,5.743287037,999,999,1,DoS
05:21.9,5.23287037,999,999,1,DoS
05:34.2,4.711111111,999,999,1,DoS
05:46.5,4.212037037,999,999,1,DoS
05:58.9,3.712962963,999,999,1,DoS
06:11.2,3.213888889,999,999,1,DoS
06:23.6,2.714814815,999,999,1,DoS
06:35.9,2.204398148,999,999,1,DoS
06:48.2,1.693981481,999,999,1,DoS
07:00.6,1.183564815,999,999,1,DoS
07:12.9,0.673148148,999,999,1,DoS
07:25.3,5.777314815,999,999,1,DoS
07:37.7,5.278240741,999,999,1,DoS
07:50.1,4.767824074,999,999,1,DoS
08:02.5,4.257407407,999,999,1,DoS
08:14.8,3.746990741,999,999,1,DoS
08:27.1,3.247916667,999,999,1,DoS
08:39.5,2.748842593,999,999,1,DoS
08:51.9,2.238425926,999,999,1,DoS
09:04.3,1.728009259,999,999,1,DoS
09:16.7,1.228935185,999,999,1,DoS
09:29.1,0.729861111,999,999,1,DoS
09:42.1,0.298842593,999,999,0,DoS
09:54.5,5.8,999,999,0,DoS
10:06.9,5.8,999,999,0,DoS
10:19.4,5.8,999,999,0,DoS
15:18.5,2.249768519,999,999,0,DoS
15:36.8,2.249768519,999,999,0,DoS
15:54.6,2.249768519,999,999,0,DoS
16:11.3,2.249768519,999,999,0,DoS
