timestamp,tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status,class
27:20.2,3.247916667,1.5,0.589814842,1,Data tampering
27:25.0,3.04375,1.5,0.907407403,0,Data tampering
27:30.2,2.896296296,1.5,0.04537037,1,Data tampering
27:35.7,2.850925926,1.5,0.272222221,1,Data tampering
27:40.7,2.635416667,1.5,0.612500012,1,Data tampering
27:46.2,2.43125,1.5,0.907407403,0,Data tampering
27:51.4,2.272453704,1.5,0.204166666,1,Data tampering
27:56.6,2.227083333,1.5,0.362962961,1,Data tampering
28:01.9,2.022916667,1.5,0.793981493,1,Data tampering
28:07.3,1.796064815,1.5,0.113425925,1,Data tampering
28:13.0,1.580555556,1.5,0.703240752,1,Data tampering
28:18.3,1.342361111,1.5,0.907407403,0,Data tampering
28:23.8,1.183564815,1.5,0.181481481,1,Data tampering
28:29.2,1.126851852,1.5,0.453703701,1,Data tampering
28:34.3,0.9,1.5,0.884722233,1,Data tampering
28:39.8,0.695833333,1.5,0.204166666,1,Data tampering
28:45.1,0.480324074,1.5,0.657870352,1,Data tampering
28:51.1,0.298842593,1.5,0.907407403,0,Data tampering
28:56.7,5.8,1.5,0,1,Data tampering
29:02.1,5.743287037,1.5,0.226851851,1,Data tampering
29:07.3,5.527777778,1.5,0.703240752,1,Data tampering
29:12.5,5.323611111,1.5,0.907407403,0,Data tampering
29:17.3,5.176157407,1.5,0.181481481,1,Data tampering
29:22.7,5.130787037,1.5,0.317592591,1,Data tampering
29:28.1,4.92662037,1.5,0.839351833,1,Data tampering
29:33.5,4.699768519,1.5,0.181481481,1,Data tampering
29:39.0,4.495601852,1.5,0.657870352,1,Data tampering
29:44.2,4.26875,1.5,0.907407403,0,Data tampering
29:49.5,4.109953704,1.5,0.113425925,1,Data tampering
29:55.0,4.053240741,1.5,0.317592591,1,Data tampering
30:00.7,3.826388889,1.5,0.907407403,0,Data tampering
30:06.4,3.667592593,1.5,0,1,Data tampering
30:12.4,3.61087963,1.5,0.272222221,1,Data tampering
30:18.1,3.372685185,1.5,0.703240752,1,Data tampering
30:23.7,3.157175926,1.5,0.022685185,1,Data tampering
30:28.9,2.930324074,1.5,0.476388901,1,Data tampering
30:33.9,2.726157407,1.5,0.907407403,0,Data tampering
30:39.2,2.578703704,1.5,0,1,Data tampering
30:44.8,2.521990741,1.5,0.249537036,1,Data tampering
30:50.0,2.295138889,1.5,0.680555582,1,Data tampering
30:55.1,2.090972222,1.5,0.907407403,0,Data tampering
35:09.4,4.699768519,2.450000048,0.635185182,1,Data tampering
35:14.1,4.495601852,2.450000048,0.635185182,1,Data tampering
35:19.1,4.302777778,2.450000048,0.635185182,1,Data tampering
35:23.8,4.098611111,2.450000048,0.635185182,1,Data tampering
35:28.5,3.905787037,2.450000048,0.635185182,1,Data tampering
35:33.5,3.724305556,2.450000048,0.635185182,1,Data tampering
35:38.3,3.520138889,2.450000048,0.635185182,1,Data tampering
35:43.9,3.327314815,2.450000048,0.635185182,1,Data tampering
35:49.2,3.100462963,2.450000048,0.635185182,1,Data tampering
35:54.1,2.884953704,2.450000048,0.635185182,1,Data tampering
35:59.4,2.680787037,2.450000048,0.635185182,1,Data tampering
36:04.8,2.47662037,2.450000048,0.635185182,1,Data tampering
36:09.9,2.249768519,2.450000048,0.635185182,1,Data tampering
36:15.2,2.045601852,2.450000048,0.635185182,1,Data tampering
36:20.8,1.830092593,2.450000048,0.635185182,1,Data tampering
36:26.2,1.603240741,2.450000048,0.635185182,1,Data tampering
36:31.6,1.376388889,2.450000048,0.635185182,1,Data tampering
36:36.6,1.16087963,2.450000048,0.635185182,1,Data tampering
36:42.1,0.956712963,2.450000048,0.635185182,1,Data tampering
36:47.3,0.729861111,2.450000048,0.635185182,1,Data tampering
36:52.5,0.514351852,2.450000048,0.635185182,1,Data tampering
36:57.5,0.310185185,2.450000048,0.635185182,1,Data tampering
37:02.7,5.709259259,2.450000048,0.635185182,1,Data tampering
37:07.8,5.505092593,2.450000048,0.635185182,1,Data tampering
37:13.1,5.300925926,2.450000048,0.635185182,1,Data tampering
37:18.1,5.085416667,2.450000048,0.635185182,1,Data tampering
37:23.6,4.88125,2.450000048,0.635185182,1,Data tampering
37:29.1,4.654398148,2.450000048,0.635185182,1,Data tampering
37:34.4,4.438888889,2.450000048,0.635185182,1,Data tampering
37:39.6,4.212037037,2.450000048,0.635185182,1,Data tampering
37:44.6,4.019212963,2.450000048,0.635185182,1,Data tampering
37:49.9,3.815046296,2.450000048,0.635185182,1,Data tampering
37:55.0,3.599537037,2.450000048,0.635185182,1,Data tampering
38:00.1,3.39537037,2.450000048,0.635185182,1,Data tampering
38:05.5,3.191203704,2.450000048,0.635185182,1,Data tampering
38:10.4,2.975694444,2.450000048,0.635185182,1,Data tampering
38:15.7,2.771527778,2.450000048,0.635185182,1,Data tampering
38:21.0,2.567361111,2.450000048,0.635185182,1,Data tampering
38:25.9,2.351851852,2.450000048,0.635185182,1,Data tampering
38:31.7,2.147685185,2.450000048,0.635185182,1,Data tampering
38:38.5,1.920833333,2.450000048,0.635185182,1,Data tampering
42:36.6,5.300925926,1.5,0.635185182,1,Data tampering
42:41.7,5.096759259,1.5,0.635185182,1,Data tampering
42:46.5,4.892592593,1.5,0.635185182,1,Data tampering
42:51.2,4.699768519,1.5,0.635185182,1,Data tampering
42:56.2,4.506944444,1.5,0.635185182,1,Data tampering
43:02.1,4.302777778,1.5,0.635185182,1,Data tampering
43:07.1,4.075925926,1.5,0.635185182,1,Data tampering
43:12.8,3.871759259,1.5,0.635185182,1,Data tampering
43:17.9,3.644907407,1.5,0.635185182,1,Data tampering
43:23.3,3.440740741,1.5,0.635185182,1,Data tampering
43:28.9,3.213888889,1.5,0.635185182,1,Data tampering
43:34.3,2.99837963,1.5,0.635185182,1,Data tampering
43:39.9,2.78287037,1.5,0.635185182,1,Data tampering
43:45.2,2.556018519,1.5,0.635185182,1,Data tampering
43:50.5,2.351851852,1.5,0.635185182,1,Data tampering
43:56.1,2.136342593,1.5,0.635185182,1,Data tampering
44:01.7,1.909490741,1.5,0.635185182,1,Data tampering
44:07.0,1.682638889,1.5,0.635185182,1,Data tampering
44:12.4,1.478472222,1.5,0.635185182,1,Data tampering
44:17.9,1.262962963,1.5,0.635185182,1,Data tampering
44:23.0,1.047453704,1.5,0.635185182,1,Data tampering
44:27.8,0.831944444,1.5,0.635185182,1,Data tampering
44:33.5,0.63912037,1.5,0.635185182,1,Data tampering
44:38.7,0.412268519,1.5,0.635185182,1,Data tampering
44:43.9,0.298842593,1.5,0.635185182,0,Data tampering
44:49.2,5.8,1.5,0.635185182,1,Data tampering
44:54.2,5.743287037,1.5,0.635185182,1,Data tampering
44:59.4,5.53912037,1.5,0.635185182,1,Data tampering
45:04.5,5.323611111,1.5,0.635185182,1,Data tampering
45:09.9,5.119444444,1.5,0.635185182,1,Data tampering
45:15.3,4.915277778,1.5,0.635185182,1,Data tampering
09:21.2,3.111805556,2.450000048,0.385648161,1,Data tampering
09:25.7,2.907638889,1.657436728,0.771296322,1,Data tampering
09:30.0,2.726157407,2.505255222,0.04537037,1,Data tampering
09:34.3,2.544675926,2.778510332,0.362962961,1,Data tampering
09:38.6,2.374537037,0.631749511,0.793981493,1,Data tampering
09:42.5,2.193055556,0.555120766,0.907407403,0,Data tampering
09:46.5,2.068287037,2.888238192,0.158796296,1,Data tampering
09:50.4,2.034259259,0.953287423,0.272222221,1,Data tampering
09:54.5,1.875462963,1.332245708,0.589814842,1,Data tampering
09:58.4,1.716666667,0.719328701,0.907407403,0,Data tampering
10:02.3,1.591898148,2.484246016,0,1,Data tampering
10:06.1,1.55787037,1.424285769,0.113425925,1,Data tampering
10:10.1,1.410416667,0.192634791,0.408333331,1,Data tampering
10:14.1,1.240277778,0.837915957,0.748611093,1,Data tampering
10:18.3,1.081481481,0.118828639,0.04537037,1,Data tampering
10:22.9,0.911342593,2.772330284,0.408333331,1,Data tampering
10:27.1,0.729861111,0.05874154,0.771296322,1,Data tampering
10:31.3,0.559722222,0.730980933,0.907407403,0,Data tampering
10:35.7,0.434953704,2.515568972,0.113425925,1,Data tampering
10:40.0,0.400925926,2.867921591,0.294907421,1,Data tampering
10:44.2,0.298842593,0.104504764,0.567129612,0,Data tampering
10:48.5,5.8,2.069804192,0.567129612,1,Data tampering
10:52.7,5.75462963,1.324023485,0.771296322,1,Data tampering
10:57.0,5.584490741,2.21231842,0,1,Data tampering
11:01.4,5.414351852,0.699565887,0.272222221,1,Data tampering
11:05.5,5.23287037,2.976254702,0.680555582,1,Data tampering
11:09.6,5.062731481,0.692640901,0.907407403,0,Data tampering
11:13.8,4.937962963,2.660138369,0.068055555,1,Data tampering
11:18.2,4.892592593,1.742252111,0.294907421,1,Data tampering
11:22.5,4.711111111,1.674888253,0.589814842,1,Data tampering
11:26.4,4.540972222,0.356377155,0.884722233,1,Data tampering
11:30.7,4.370833333,2.71656847,0.181481481,1,Data tampering
11:34.8,4.200694444,2.658266783,0.476388901,1,Data tampering
11:39.1,4.030555556,2.501299143,0.884722233,1,Data tampering
11:43.5,3.860416667,1.582334161,0.113425925,1,Data tampering
11:47.7,3.678935185,1.853165627,0.499074072,1,Data tampering
11:51.9,3.508796296,0.779606104,0.771296322,1,Data tampering
11:56.1,3.327314815,1.484241247,0.04537037,1,Data tampering
12:00.2,3.157175926,2.319961548,0.362962961,1,Data tampering
12:04.6,2.987037037,0.992569089,0.657870352,1,Data tampering
12:08.9,2.816898148,1.47877121,0.907407403,0,Data tampering
12:13.1,2.669444444,2.901922226,0.158796296,1,Data tampering
12:17.3,2.624074074,0.453521967,0.340277791,1,Data tampering
13:17.7,0.695833333,2.450000048,0.907407403,0,Data tampering
13:21.9,0.537037037,0,0.221220627,1,Data tampering
13:26.2,0.480324074,2.450000048,0.30714038,1,Data tampering
