timestamp,tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status,class
32:57.2,1.070138889,2.450000048,0.612500012,0,False data injection
33:07.6,0.831944444,2.450000048,0,0,False data injection
33:13.1,0.741203704,0,0.158796296,0,False data injection
33:37.5,5.765972222,0,0.249537036,0,False data injection
33:47.9,5.561805556,2.450000048,0.703240752,0,False data injection
34:03.4,5.176157407,2.450000048,0.294907421,0,False data injection
34:33.5,4.552314815,0,0.589814842,0,False data injection
34:43.3,4.359490741,2.450000048,0,0,False data injection
34:59.0,4.053240741,2.450000048,0.589814842,0,False data injection
35:24.2,3.486111111,0,0.680555582,0,False data injection
35:48.4,2.964351852,2.450000048,0.657870352,0,False data injection
35:59.8,2.760185185,2.450000048,0.068055555,0,False data injection
36:14.7,2.408564815,0,0.771296322,0,False data injection
36:23.4,2.215740741,2.450000048,0.204166666,0,False data injection
36:27.6,2.147685185,2.450000048,0.340277791,0,False data injection
36:53.7,1.603240741,2.450000048,0.385648161,0,False data injection
37:20.2,1.081481481,0,0.476388901,0,False data injection
37:58.4,5.75462963,2.450000048,0.113425925,0,False data injection
38:02.5,5.675231481,0,0.249537036,0,False data injection
38:16.2,5.403009259,0,0.793981493,0,False data injection
38:33.5,5.040046296,2.450000048,0.567129612,0,False data injection
38:54.1,4.631712963,0,0.408333331,0,False data injection
39:15.8,4.109953704,2.450000048,0.431018531,0,False data injection
39:24.8,3.91712963,0,0.816666663,0,False data injection
39:41.5,3.554166667,0,0.544444442,0,False data injection
39:45.1,3.463425926,0,0.748611093,0,False data injection
39:56.3,3.236574074,0,0.13611111,0,False data injection
39:59.9,3.157175926,0,0.294907421,0,False data injection
40:14.3,2.884953704,0,0.793981493,0,False data injection
40:36.2,2.419907407,2.450000048,0.703240752,0,False data injection
40:57.5,1.943518519,0,0.544444442,0,False data injection
41:17.7,1.5125,2.450000048,0.385648161,0,False data injection
41:51.8,0.763888889,0,0.884722233,0,False data injection
41:55.5,0.695833333,0,0,0,False data injection
42:09.9,0.400925926,2.450000048,0.567129612,0,False data injection
42:13.4,0.33287037,0,0.703240752,0,False data injection
