timestamp,tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status,class
46:06.5,3.270601852,3.675000191,0.884722233,1,Scaling
46:11.8,3.111805556,3.675000191,0.068055555,1,Scaling
46:17.4,2.964351852,3.675000191,0.272222221,1,Scaling
46:23.0,2.816898148,3.675000191,0.657870352,1,Scaling
46:29.7,2.669444444,3.675000191,0.907407403,0,Scaling
46:35.7,2.556018519,0,0,1,Scaling
46:41.9,2.499305556,3.675000191,0.272222221,1,Scaling
46:48.0,2.340509259,3.675000191,0.589814842,1,Scaling
46:54.1,2.193055556,3.675000191,0.884722233,1,Scaling
47:00.1,2.045601852,3.675000191,0.068055555,1,Scaling
47:06.5,1.909490741,3.675000191,0.340277791,1,Scaling
47:13.1,1.77337963,3.675000191,0.635185182,1,Scaling
47:19.0,1.603240741,3.675000191,0.907407403,0,Scaling
47:24.2,1.501157407,0,0,1,Scaling
47:30.7,1.455787037,3.675000191,0.249537036,1,Scaling
47:37.3,1.296990741,3.675000191,0.589814842,1,Scaling
47:44.2,1.126851852,3.675000191,0.907407403,0,Scaling
47:49.3,1.024768519,0,0,1,Scaling
47:55.4,0.979398148,3.675000191,0.317592591,1,Scaling
48:01.9,0.820601852,3.675000191,0.657870352,1,Scaling
48:08.2,0.650462963,3.675000191,0.907407403,0,Scaling
48:13.5,0.54837963,0,0,1,Scaling
48:19.8,0.503009259,3.675000191,0.249537036,1,Scaling
49:46.5,3.327314815,0,0.204166666,1,Scaling
49:52.2,3.281944444,2.450000048,0.476388872,1,Scaling
49:57.7,3.055092593,2.450000048,1.225000024,0,Scaling
50:03.3,2.884953704,0,0,1,Scaling
50:07.3,2.850925926,2.450000048,0.204166666,1,Scaling
50:11.1,2.680787037,2.450000048,0.680555582,1,Scaling
50:15.0,2.521990741,2.450000048,1.156944513,0,Scaling
50:18.8,2.408564815,0,1.361111164,0,Scaling
50:22.7,2.408564815,0,0,1,Scaling
50:26.7,2.374537037,2.450000048,0.204166666,1,Scaling
50:31.0,2.215740741,2.450000048,0.646527767,1,Scaling
50:35.0,2.034259259,2.450000048,1.259027719,0,Scaling
50:39.3,1.909490741,0,0,1,Scaling
50:44.9,1.86412037,2.450000048,0.374305546,1,Scaling
50:49.7,1.648611111,2.450000048,0.952777743,0,Scaling
50:54.4,1.489814815,0,1.259027719,0,Scaling
50:58.7,1.489814815,0,1.259027719,0,Scaling
51:03.3,1.489814815,0,1.259027719,0,Scaling
51:07.7,1.489814815,0,1.259027719,0,Scaling
51:12.0,1.489814815,0,1.259027719,0,Scaling
51:16.6,1.489814815,0,1.259027719,0,Scaling
51:21.1,1.489814815,0,1.259027719,0,Scaling
51:25.4,1.489814815,0,1.259027719,0,Scaling
51:30.0,1.489814815,0,1.259027719,0,Scaling
51:34.7,1.489814815,0,1.259027719,0,Scaling
51:38.9,1.489814815,0,1.259027719,0,Scaling
51:43.0,1.489814815,0,1.259027719,0,Scaling
51:47.5,1.489814815,0,1.259027719,0,Scaling
51:52.1,1.489814815,0,1.259027719,0,Scaling
51:56.6,1.489814815,0,1.259027719,0,Scaling
52:01.0,1.489814815,0,1.259027719,0,Scaling
52:05.7,1.489814815,0,1.259027719,0,Scaling
52:10.1,1.489814815,0,1.259027719,0,Scaling
52:14.7,1.489814815,0,1.259027719,0,Scaling
52:19.3,1.489814815,0,1.259027719,0,Scaling
52:24.2,1.489814815,0,1.259027719,0,Scaling
52:29.0,1.489814815,0,1.259027719,0,Scaling
52:33.6,1.489814815,0,1.259027719,0,Scaling
52:38.3,1.489814815,0,1.259027719,0,Scaling
52:43.0,1.489814815,0,1.259027719,0,Scaling
52:47.5,1.489814815,0,1.259027719,0,Scaling
52:52.3,1.489814815,0,1.259027719,0,Scaling
52:57.2,1.489814815,0,1.259027719,0,Scaling
53:02.1,1.489814815,0,1.259027719,0,Scaling
53:06.9,1.489814815,0,1.259027719,0,Scaling
53:11.6,1.489814815,0,1.259027719,0,Scaling
53:16.3,1.489814815,0,1.259027719,0,Scaling
53:21.0,1.489814815,0,1.259027719,0,Scaling
53:25.8,1.489814815,0,1.259027719,0,Scaling
53:30.6,1.489814815,0,1.259027719,0,Scaling
53:35.3,1.489814815,0,1.259027719,0,Scaling
53:40.3,1.489814815,0,1.259027719,0,Scaling
53:45.2,1.489814815,0,1.259027719,0,Scaling
53:50.3,1.489814815,0,1.259027719,0,Scaling
53:55.0,1.489814815,0,1.259027719,0,Scaling
53:59.8,1.489814815,0,1.259027719,0,Scaling
54:04.6,1.489814815,0,1.259027719,0,Scaling
54:09.4,1.489814815,0,1.259027719,0,Scaling
54:14.0,1.489814815,0,1.259027719,0,Scaling
54:18.8,1.489814815,0,1.259027719,0,Scaling
54:23.4,1.489814815,0,1.259027719,0,Scaling
54:28.0,1.489814815,0,1.259027719,0,Scaling
54:33.0,1.489814815,0,1.259027719,0,Scaling
54:37.6,1.489814815,0,1.259027719,0,Scaling
