timestamp,tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status,class
04:07.7,5.8,0,0,1,normal
04:11.0,5.765972222,2.450000048,0.113425925,1,normal
04:14.7,5.629861111,2.450000048,0.362962961,1,normal
04:18.2,5.49375,2.450000048,0.680555582,1,normal
04:21.8,5.346296296,2.450000048,0.907407403,0,normal
04:25.5,5.244212963,0,0,1,normal
04:29.3,5.1875,2.450000048,0.181481481,1,normal
04:32.9,5.040046296,2.450000048,0.521759272,1,normal
04:36.6,4.892592593,2.450000048,0.793981493,1,normal
04:40.3,4.745138889,2.450000048,0.907407403,0,normal
04:43.9,4.643055556,0,0.09074074,1,normal
04:47.4,4.597685185,2.450000048,0.294907421,1,normal
04:50.6,4.450231481,2.450000048,0.499074072,1,normal
04:53.8,4.31412037,2.450000048,0.771296322,1,normal
04:57.2,4.189351852,2.450000048,0.907407403,0,normal
05:00.8,4.098611111,0,0.068055555,1,normal
05:04.4,4.064583333,2.450000048,0.158796296,1,normal
05:08.1,3.928472222,2.450000048,0.521759272,1,normal
05:11.9,3.769675926,2.450000048,0.793981493,1,normal
05:15.6,3.61087963,2.450000048,0.022685185,1,normal
05:19.3,3.474768519,2.450000048,0.272222221,1,normal
05:23.1,3.315972222,2.450000048,0.635185182,1,normal
05:26.8,3.157175926,2.450000048,0.907407403,0,normal
05:30.4,3.055092593,0,0,1,normal
05:34.2,3.009722222,2.450000048,0.181481481,1,normal
05:38.0,2.850925926,2.450000048,0.521759272,1,normal
05:41.8,2.703472222,2.450000048,0.793981493,1,normal
05:45.5,2.544675926,2.450000048,0.907407403,0,normal
05:49.3,2.442592593,0,0.113425925,1,normal
05:53.0,2.397222222,2.450000048,0.317592591,1,normal
05:56.8,2.249768519,2.450000048,0.567129612,1,normal
06:00.5,2.090972222,2.450000048,0.907407403,0,normal
06:04.3,1.977546296,0,0,1,normal
06:08.1,1.932175926,2.450000048,0.158796296,1,normal
06:12.0,1.77337963,2.450000048,0.521759272,1,normal
06:15.6,1.614583333,2.450000048,0.748611093,1,normal
06:19.3,1.46712963,2.450000048,0,1,normal
06:23.2,1.319675926,2.450000048,0.272222221,1,normal
06:26.9,1.16087963,2.450000048,0.635185182,1,normal
06:30.4,1.002083333,2.450000048,0.907407403,0,normal
06:34.1,0.911342593,0,0,1,normal
06:37.8,0.865972222,2.450000048,0.181481481,1,normal
06:41.6,0.718518519,2.450000048,0.453703701,1,normal
06:45.1,0.559722222,2.450000048,0.703240752,1,normal
06:48.7,0.412268519,2.450000048,0.907407403,0,normal
06:52.3,0.321527778,0,0.068055555,1,normal
06:55.6,0.298842593,2.450000048,0.158796296,0,normal
06:59.2,5.8,0,0.158796296,1,normal
07:03.0,5.75462963,2.450000048,0.340277791,1,normal
07:06.7,5.595833333,2.450000048,0.680555582,1,normal
07:10.3,5.44837963,2.450000048,0.907407403,0,normal
07:14.0,5.346296296,0,0,1,normal
07:18.0,5.300925926,2.450000048,0.13611111,1,normal
07:21.5,5.14212963,2.450000048,0.499074072,1,normal
07:25.2,4.994675926,2.450000048,0.793981493,1,normal
07:28.8,4.847222222,2.450000048,0.907407403,0,normal
07:32.5,4.745138889,0,0.09074074,1,normal
07:36.3,4.699768519,2.450000048,0.294907421,1,normal
07:40.0,4.540972222,2.450000048,0.567129612,1,normal
07:43.7,4.393518519,2.450000048,0.907407403,0,normal
07:47.5,4.280092593,0,0,1,normal
07:51.0,4.234722222,2.450000048,0.181481481,1,normal
07:54.5,4.098611111,2.450000048,0.476388901,1,normal
07:58.4,3.951157407,2.450000048,0.748611093,1,normal
08:02.0,3.792361111,2.450000048,0.907407403,0,normal
08:05.9,3.690277778,0,0.068055555,1,normal
08:09.5,3.644907407,2.450000048,0.249537036,1,normal
08:13.2,3.497453704,2.450000048,0.499074072,1,normal
08:17.0,3.35,2.450000048,0.862037063,1,normal
08:20.7,3.191203704,2.450000048,0,1,normal
08:25.1,3.04375,2.450000048,0.362962961,1,normal
08:29.7,2.873611111,2.450000048,0.703240752,1,normal
08:34.8,2.680787037,2.450000048,0,1,normal
08:38.4,2.47662037,2.450000048,0.340277791,1,normal
08:41.9,2.329166667,2.450000048,0.635185182,1,normal
08:45.3,2.181712963,2.450000048,0.907407403,0,normal
08:48.9,2.090972222,0,0,1,normal
08:52.3,2.034259259,2.450000048,0.113425925,1,normal
08:55.7,1.898148148,2.450000048,0.408333331,1,normal
08:59.3,1.762037037,2.450000048,0.703240752,1,normal
09:02.7,1.614583333,2.450000048,0.907407403,0,normal
