timestamp,tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status,class
47:59.6,5.8,0,0,1,normal
48:29.6,5.663888889,2.450000048,0.907407403,0,normal
48:59.4,5.017361111,0,0.635185182,1,normal
49:28.3,4.869907407,2.450000048,0.453703701,1,normal
49:59.1,4.178009259,2.450000048,0.13611111,1,normal
50:26.9,3.452083333,2.450000048,0.635185182,1,normal
50:48.9,2.839583333,2.450000048,0.680555582,1,normal
51:07.5,2.306481481,2.450000048,0.612500012,1,normal
51:28.0,1.852777778,2.450000048,0.340277791,1,normal
51:54.1,1.489814815,2.450000048,0.544444442,1,normal
52:10.7,0.831944444,2.450000048,0.544444442,1,normal
52:24.3,0.457638889,2.450000048,0.181481481,1,normal
52:38.8,0.298842593,2.450000048,0.635185182,0,normal
53:02.7,5.765972222,0,0.635185182,1,normal
53:22.9,5.618518519,2.450000048,0.204166666,1,normal
53:36.1,5.300925926,2.450000048,0.793981493,1,normal
53:54.4,5.028703704,2.450000048,0.181481481,1,normal
54:09.8,4.597685185,2.450000048,0,1,normal
54:22.8,4.26875,2.450000048,0.680555582,1,normal
54:35.8,4.064583333,2.450000048,0.022685185,1,normal
54:47.4,3.781018519,2.450000048,0.612500012,1,normal
54:57.3,3.497453704,2.450000048,0.09074074,1,normal
55:05.0,3.30462963,2.450000048,0.385648161,1,normal
55:16.4,3.157175926,2.450000048,0.793981493,1,normal
55:27.6,2.953009259,2.450000048,0.249537036,1,normal
55:37.6,2.726157407,2.450000048,0.612500012,1,normal
55:48.5,2.521990741,2.450000048,0.907407403,0,normal
55:59.4,2.397222222,0,0.158796296,1,normal
56:09.5,2.329166667,2.450000048,0.408333331,1,normal
56:17.3,2.147685185,2.450000048,0.703240752,1,normal
56:26.9,2.011574074,2.450000048,0,1,normal
56:36.5,1.796064815,2.450000048,0.431018531,1,normal
56:46.0,1.603240741,2.450000048,0.839351833,1,normal
56:57.1,1.421759259,2.450000048,0.158796296,1,normal
57:06.1,1.126851852,2.450000048,0.907407403,0,normal
57:14.9,0.877314815,0,0.13611111,1,normal
57:24.0,0.831944444,2.450000048,0.385648161,1,normal
57:32.2,0.559722222,2.450000048,0.907407403,0,normal
57:41.1,0.33287037,0,0.13611111,1,normal
57:50.0,0.298842593,0,0.362962961,0,normal
57:59.5,5.8,0,0.362962961,1,normal
58:08.6,5.720601852,2.450000048,0.748611093,1,normal
58:17.8,5.414351852,2.450000048,0.249537036,1,normal
58:28.9,5.074074074,2.450000048,0.907407403,0,normal
58:40.4,4.779166667,0,0.249537036,1,normal
58:52.7,4.711111111,2.450000048,0.657870352,1,normal
59:15.9,4.31412037,2.450000048,0.748611093,1,normal
59:24.7,3.599537037,2.450000048,0.748611093,1,normal
59:34.5,3.30462963,2.450000048,0.317592591,1,normal
59:43.2,2.964351852,2.450000048,0.884722233,1,normal
59:51.4,2.669444444,2.450000048,0.431018531,1,normal
59:59.9,2.38587963,2.450000048,0.09074074,1,normal
00:09.4,2.090972222,2.450000048,0.612500012,1,normal
00:17.9,1.750694444,2.450000048,0.158796296,1,normal
00:25.7,1.444444444,2.450000048,0.748611093,1,normal
00:33.7,1.172222222,2.450000048,0.249537036,1,normal
00:40.9,0.865972222,2.450000048,0.884722233,1,normal
00:49.4,0.605092593,2.450000048,0.431018531,1,normal
00:58.6,0.298842593,2.450000048,0.862037063,0,normal
01:07.1,5.8,0,0.862037063,1,normal
01:15.8,5.731944444,2.450000048,0.113425925,1,normal
01:24.6,5.414351852,2.450000048,0.703240752,1,normal
01:33.1,5.085416667,2.450000048,0.340277791,1,normal
01:40.9,4.779166667,2.450000048,0.907407403,0,normal
01:49.8,4.540972222,0,0.13611111,1,normal
01:58.0,4.438888889,2.450000048,0.612500012,1,normal
02:05.7,4.143981481,2.450000048,0.04537037,1,normal
02:13.5,3.883101852,2.450000048,0.612500012,1,normal
02:21.6,3.588194444,2.450000048,0.04537037,1,normal
02:29.4,3.281944444,2.450000048,0.612500012,1,normal
02:37.3,2.99837963,2.450000048,0.13611111,1,normal
02:45.4,2.703472222,2.450000048,0.793981493,1,normal
02:52.9,2.397222222,2.450000048,0.249537036,1,normal
03:00.9,2.136342593,2.450000048,0.907407403,0,normal
03:09.2,1.909490741,0,0.022685185,1,normal
03:17.6,1.852777778,2.450000048,0.317592591,1,normal
03:26.2,1.535185185,2.450000048,0.907407403,0,normal
03:34.2,1.296990741,0,0.158796296,1,normal
03:42.7,1.228935185,2.450000048,0.567129612,1,normal
03:50.9,0.922685185,2.450000048,0.907407403,0,normal
03:58.7,0.707175926,0,0.272222221,1,normal
04:06.7,0.650462963,2.450000048,0.521759272,1,normal
