timestamp,tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status,est_fl,est_ll
31:40.7,5.312268519,2.450000048,0.567129612,0,0,0.56712963
31:47.0,5.210185185,0,0.771296322,1,0,0.839351852
31:52.8,5.051388889,2.450000048,0.022685185,0,0,0.022685185
31:59.6,4.949305556,2.450000048,0.204166666,1,0,0.249537037
32:06.0,4.790509259,2.450000048,0.567129612,1,0,0.56712963
32:11.8,4.677083333,0,0.748611093,1,0,0.771296296
32:17.1,4.52962963,2.450000048,0,1,2.45,0
32:23.1,4.416203704,0,0.204166666,1,0,0.226851852
32:29.1,4.246064815,2.450000048,0.567129612,1,0,0.56712963
32:35.3,4.121296296,0,0.771296322,1,0,0.862037037
32:41.8,3.973842593,2.450000048,0.022685185,0,0,0.022685185
32:47.5,3.849074074,0,0.249537036,1,0,0.340277778
32:53.1,3.70162037,0,0.521759272,0,0,0.521759259
32:59.1,3.61087963,0,0.793981493,1,0,0.816666667
33:04.8,3.474768519,2.450000048,0,0,0,0.022685185
33:10.8,3.372685185,0,0.226851851,1,0,0.294907407
33:16.3,3.225231481,2.450000048,0.521759272,0,0,0.521759259
33:22.2,3.123148148,0,0.748611093,1,0,0.793981481
33:27.9,2.975694444,2.450000048,0,0,0,0
33:33.0,2.873611111,0,0.204166666,0,0,0.226851852
33:38.5,2.78287037,0,0.362962961,1,0,0.431018519
33:44.3,2.635416667,2.450000048,0.657870352,0,0,0.65787037
33:50.3,2.533333333,0,0.862037063,1,0,0.907407407
33:56.1,2.363194444,0,0.13611111,0,0,0.136111111
34:03.0,2.249768519,0,0.408333331,1,0,0.431018519
34:09.0,2.07962963,2.450000048,0.703240752,0,0,0.703240741
34:14.9,1.966203704,0,0,1,0,0.090740741
34:21.0,1.830092593,0,0.249537036,0,0,0.272222222
34:27.0,1.728009259,0,0.476388901,1,0,0.544444444
34:33.0,1.580555556,0,0.793981493,1,0,0.793981481
34:38.8,1.478472222,0,0.907407403,0,0,0.068055556
34:44.4,1.387731481,0,0.294907421,1,2.45,0.340277778
34:50.0,1.262962963,0,0.453703701,0,0,0.476388889
34:55.7,1.16087963,0,0.748611093,1,0,0.748611111
35:02.1,1.013425926,0,0,0,0,0
35:07.4,0.9,0,0.272222221,1,0,0.294907407
35:13.3,0.775231481,2.450000048,0.476388901,0,0,0.476388889
35:18.9,0.661805556,0,0.703240752,1,0,0.748611111
35:24.1,0.514351852,2.450000048,0.907407403,0,0,0
35:29.9,0.457638889,0,0.226851851,1,2.45,0.249537037
35:36.3,0.33287037,2.450000048,0.453703701,1,2.45,0.453703704
35:42.4,5.709259259,0,0.657870352,0,0,0.725925926
35:47.3,5.607175926,0,0.907407403,0,0,0.907407407
35:54.4,5.527777778,0,0.13611111,1,2.45,0.226851852
36:01.7,5.357638889,2.450000048,0.476388901,0,2.45,0.476388889
36:09.0,5.210185185,0,0.703240752,1,0,0.748611111
36:15.5,5.062731481,2.450000048,0.907407403,0,0,0
36:21.5,4.983333333,0,0.181481481,1,0,0.226851852
36:27.0,4.824537037,0,0.476388901,0,0,0.476388889
36:32.1,4.722453704,0,0.657870352,0,0,0.703240741
36:36.3,4.631712963,0,0.816666663,1,0,0.816666667
