timestamp,tank_liquidlevel,tank_upperbound,tank_lowerbound,flowlevel,sensor2_thresh,bottle_liquidlevel,bottle_upperbound,bottle_lowerbound,motor_status,class,attack_type
20:04.5,4.552314815,5.81,0.3,2.450000048,3,0.499074072,0.9,0,1,normal,nil
20:09.5,4.359490741,5.81,0.3,2.450000048,3,0.907407403,0.9,0,0,normal,nil
20:13.5,4.212037037,5.81,0.3,0,3,0,0.9,0,1,normal,nil
20:17.7,4.178009259,5.81,0.3,2.450000048,3,0.13611111,0.9,0,1,normal,nil
20:21.1,4.053240741,5.81,0.3,2.450000048,3,0.317592591,0.9,0,1,normal,nil
20:24.2,3.91712963,5.81,0.3,2.450000048,3,0.612500012,0.9,0,1,normal,nil
20:27.0,3.792361111,5.81,0.3,2.450000048,3,0.884722233,0.9,0,1,normal,nil
20:30.0,3.678935185,5.81,0.3,2.450000048,3,0.022685185,0.9,0,1,normal,nil
20:33.3,3.554166667,5.81,0.3,2.450000048,3,0.294907421,0.9,0,1,normal,nil
20:36.6,3.418055556,5.81,0.3,2.450000048,3,0.612500012,0.9,0,1,normal,nil
20:40.6,3.281944444,5.81,0.3,2.450000048,3,0.839351833,0.9,0,1,normal,nil
20:43.8,3.123148148,5.81,0.3,2.450000048,3,0.09074074,0.9,0,1,normal,nil
20:46.8,2.987037037,5.81,0.3,2.450000048,3,0.272222221,0.9,0,1,normal,nil
20:50.0,2.862268519,5.81,0.3,2.450000048,3,0.544444442,0.9,0,1,normal,nil
20:53.3,2.7375,5.81,0.3,2.450000048,3,0.816666663,0.9,0,1,normal,nil
20:56.6,2.601388889,5.81,0.3,2.450000048,3,0.907407403,0.9,0,0,normal,nil
21:00.0,2.499305556,5.81,0.3,0,3,0.113425925,0.9,0,1,normal,nil
21:03.5,2.465277778,5.81,0.3,2.450000048,3,0.249537036,0.9,0,1,normal,nil
21:06.9,2.317824074,5.81,0.3,2.450000048,3,0.567129612,0.9,0,1,normal,nil
21:10.2,2.181712963,5.81,0.3,2.450000048,3,0.816666663,0.9,0,1,normal,nil
21:13.5,2.045601852,5.81,0.3,2.450000048,3,0,0.9,0,1,normal,nil
21:16.8,1.909490741,5.81,0.3,2.450000048,3,0.226851851,0.9,0,1,normal,nil
21:20.2,1.77337963,5.81,0.3,2.450000048,3,0.544444442,0.9,0,1,normal,nil
21:24.0,1.637268519,5.81,0.3,2.450000048,3,0.793981493,0.9,0,1,normal,nil
21:27.4,1.478472222,5.81,0.3,2.450000048,3,0.022685185,0.9,0,1,normal,nil
21:31.1,1.353703704,5.81,0.3,2.450000048,3,0.272222221,0.9,0,1,normal,nil
21:34.7,1.194907407,5.81,0.3,2.450000048,3,0.612500012,0.9,0,1,normal,nil
21:38.7,1.047453704,5.81,0.3,2.450000048,3,0.884722233,0.9,0,1,normal,nil
21:42.2,0.888657407,5.81,0.3,2.450000048,3,0.113425925,0.9,0,1,normal,nil
21:45.9,0.741203704,5.81,0.3,2.450000048,3,0.362962961,0.9,0,1,normal,nil
21:49.7,0.59375,5.81,0.3,2.450000048,3,0.703240752,0.9,0,1,normal,nil
21:52.8,0.446296296,5.81,0.3,2.450000048,3,0.907407403,0.9,0,0,normal,nil
21:56.4,0.355555556,5.81,0.3,0,3,0,0.9,0,1,normal,nil
